ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 442247, 438573, 548269, 451731, 442247, 525545, 474455, 463260, 727240,2872961,Fulton
 444288, 440712, 546149, 453851, 444288, 523479, 476521, 464240, 726700,2889486,Gilmer
 444520, 440959, 545906, 454094, 444520, 523248, 476752, 464390, 726580,2891052,Glascock
 445246, 442211, 544681, 455319, 445246, 522456, 477544, 469650, 722250,3392888,Gwinnett
 446872, 443381, 543506, 456494, 446872, 520851, 479149, 465090, 726550,2933036,Glynn
 447382, 444438, 542464, 457536, 447382, 520307, 479693, 470560, 721570,3413320,Habersham
 449669, 446339, 540571, 459429, 449669, 518032, 481968, 466700, 725390,2957069,Gordon
 449736, 448983, 537575, 462425, 449736, 517099, 482901, 492470, 704760,2018624,Douglas
 449964, 449177, 537401, 462599, 449964, 516876, 483124, 492130, 705250,2023811,Early
 450253, 449478, 537102, 462898, 450253, 516589, 483411, 492250, 705130,2025252,Echols
 450395, 447099, 539840, 460160, 450395, 517331, 482669, 467040, 725090,2967776,Grady
 451127, 447784, 539175, 460825, 451127, 516641, 483359, 466570, 725340,2979023,Greene
 452851, 451841, 534670, 465330, 452851, 513987, 486013, 489900, 706830,1949527,Dougherty
 453837, 451064, 535808, 464192, 453837, 513773, 486227, 472270, 720350,3508008,Hancock
 454041, 451270, 535593, 464407, 454041, 513568, 486432, 472290, 720250,3503843,Hall
 454410, 453419, 532951, 467049, 454410, 512273, 487727, 490090, 706780,1902041,DeKalb
 454442, 453935, 532611, 467389, 454442, 512368, 487632, 494930, 702430,2056822,Effingham
 455412, 452741, 534149, 465851, 455412, 512196, 487804, 473290, 719530,3522256,Haralson
 455438, 454934, 531640, 468360, 455438, 511408, 488592, 494960, 702320,2065993,Elbert
 455523, 454562, 531836, 468164, 455523, 511167, 488833, 490390, 706690,1910111,Dodge
 455673, 454715, 531693, 468307, 455673, 511024, 488976, 490420, 706690,1914216,Dooly
 456037, 453735, 533279, 466721, 456037, 511689, 488311, 476980, 715900,3683107,Henry
 456491, 456008, 530596, 469404, 456491, 510378, 489622, 495170, 702180,2075494,Emanuel
 456873, 454228, 532676, 467324, 456873, 510771, 489229, 473550, 719050,3542247,Harris
 456942, 456465, 530149, 469851, 456942, 509937, 490063, 495230, 702120,2079741,Evans
 457875, 455264, 531657, 468343, 457875, 509768, 490232, 473890, 718890,3554974,Hart
 457981, 455753, 531239, 468761, 457981, 509739, 490261, 477720, 715000,3757930,Houston
 458296, 456081, 530918, 469082, 458296, 509435, 490565, 477850, 714830,3762098,Irwin
 458421, 455843, 531083, 468917, 458421, 509222, 490778, 474220, 718610,3560365,Heard
 459418, 459039, 527618, 472382, 459418, 507475, 492525, 496210, 701430,2094591,Fannin
 461429, 459323, 527666, 472334, 461429, 506296, 493704, 478940, 713700,3799768,Jackson
 461877, 461302, 525347, 474653, 461877, 505140, 494860, 494250, 702070,2166584,Fayette
 462013, 459929, 527069, 472931, 462013, 505723, 494277, 479160, 713460,3807412,Jasper
 462513, 460465, 526541, 473459, 462513, 505223, 494777, 479520, 713180,3813183,JeffDavis
 462514, 460469, 526550, 473450, 462514, 505237, 494763, 479550, 713130,3820825,Jefferson
 462660, 460618, 526406, 473594, 462660, 505093, 494907, 479580, 713130,3824280,Jenkins
 462896, 460870, 526161, 473839, 462896, 504854, 495146, 479740, 713070,3828380,Johnson
 463657, 461668, 525384, 474616, 463657, 504108, 495892, 480110, 712760,3843346,Jones
 464200, 462228, 524830, 475170, 464200, 503577, 496423, 480280, 712530,3852385,Lamar
 464413, 462450, 524608, 475392, 464413, 503355, 496645, 480370, 712530,3855961,Lanier
 465394, 463476, 523615, 476385, 465394, 502390, 497610, 480820, 712250,3878690,Laurens
 465872, 464065, 523029, 476971, 465872, 501884, 498116, 481930, 711450,3916793,Liberty
 466120, 464326, 522775, 477225, 466120, 501639, 498361, 482060, 711360,3921443,Lincoln
 466186, 465790, 520877, 479123, 466186, 500812, 499188, 496040, 700650,2208232,Floyd
 466312, 464555, 522540, 477460, 466312, 501433, 498567, 482430, 711070,3927099,Long
 466443, 464570, 522538, 477462, 466443, 501370, 498630, 481270, 711680,3895404,Lee
 467320, 465601, 521506, 478494, 467320, 500396, 499604, 482810, 711100,3973454,Lowndes
 468394, 466739, 520368, 479632, 468394, 499281, 500719, 483450, 710870,3993647,Macon
 468494, 466838, 520260, 479740, 468494, 499181, 500819, 483440, 710790,3988985,Lumpkin
 469427, 467825, 519280, 480720, 469427, 498245, 501755, 483980, 710350,4008584,Madison
